,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category
9481,9482,060890486.jpg,779,979,983,735,810,576,841,610,824,939,-1,-1,826,593,1067,351,1070.1238,347.9461,1197.8762,223.0539,1258,698,1125,545,1040,318,1094,384,1164,525,1227,704,5.359743277434098,"bicycling, racing and road",bicycling
9482,9483,068777304.jpg,-1,-1,-1,-1,1521,854,1347,860,-1,-1,-1,-1,1434,857,1476,381,1445.3244,302.3694,1348.6756,54.6306,1360,531,1530,566,1592,367,1360,395,1186,643,1257,556,7.97771696665155,"bicycling, racing and road",bicycling
9483,9484,047123669.jpg,884,1052,853,833,832,535,928,547,988,833,983,1038,880,541,878,251,879.037,200.6018,881.963,58.3982,769,523,730,453,779,268,976,234,1086,388,1154,540,4.267008319654415,"bicycling, racing and road",bicycling
9484,9485,087635211.jpg,-1,-1,601,708,599,543,681,530,688,702,-1,-1,640,537,583,239,558.3183,180.1606,495.6817,30.8394,462,334,485,408,475,251,690,226,758,367,739,348,4.857792091063593,"bicycling, racing and road",bicycling
9485,9486,044379484.jpg,-1,-1,1105,671,1060,433,1113,417,1180,656,-1,-1,1087,425,1134,143,1149.5742,124.311,1243.4258,11.689,1007,343,967,225,1140,154,1128,131,1067,235,1075,348,4.398028649292771,"bicycling, racing and road",bicycling
9486,9487,028490862.jpg,612,651,513,558,645,438,748,453,632,618,717,674,697,446,591,301,579.9673,291.1835,475.0327,197.8165,397,517,469,414,525,315,657,286,616,455,496,535,4.213760315917363,"bicycling, racing and road",bicycling
9487,9488,089601552.jpg,964,413,885,368,988,278,1012,298,925,371,1007,418,1000,288,892,231,890.5734,228.7175,848.4266,161.2825,794,333,834,307,879,232,904,230,872,294,806,352,2.3856772623303426,"bicycling, racing and road",bicycling
9488,9489,086156428.jpg,411,618,403,448,421,343,497,337,482,429,529,580,459,340,448,236,447.8038,221.3838,446.1962,101.6162,350,403,368,327,388,238,507,234,522,317,542,395,3.593353865123779,"bicycling, racing and road",bicycling
9489,9490,016403995.jpg,-1,-1,-1,-1,601,545,702,570,-1,-1,-1,-1,652,558,702,287,683.0941,232.3574,638.9059,104.6426,547,346,638,394,646,293,758,280,752,446,630,528,4.0542954998371785,"kitchen activity, general, (e.g., cooking, washing dishes, cleaning up), moderate effort",home activities
9490,9491,002596102.jpg,796,455,-1,-1,804,248,716,283,689,459,724,632,760,266,628,146,629.3361,148.059,565.6639,49.941,636,297,681,250,673,118,583,174,558,287,523,342,3.5090101168278207,"bicycling, racing and road",bicycling
9491,9492,008998556.jpg,-1,-1,-1,-1,183,426,264,418,-1,-1,-1,-1,224,422,199,233,199.1981,207.6418,199.8019,130.3582,110,395,112,336,130,246,268,219,315,279,295,280,2.3185788750870646,"hunting, birds",fishing and hunting
9492,9493,028654740.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,264,299.7936,266.7446,310.2064,128.2554,329,251,228,330,205,269,395,258,446,301,483,235,4.166402764976041,"hunting, birds",fishing and hunting
9493,9494,097225980.jpg,-1,-1,155,448,147,342,70,341,83,446,-1,-1,109,342,99,174,104.8833,150.663,123.1167,78.337,180,215,205,224,150,175,47,173,37,228,93,215,2.2376702169890894,"hunting, birds",fishing and hunting
9494,9495,055851615.jpg,-1,-1,-1,-1,431,320,491,316,-1,-1,-1,-1,461,318,467,178,465.8938,151.6731,463.1062,85.3269,432,267,381,239,409,177,524,178,539,236,527,223,1.992144573066925,"hunting, birds",fishing and hunting
9495,9496,037326173.jpg,384,431,298,288,481,385,450,400,270,302,350,441,466,393,407,185,395.3305,169.4849,330.6695,83.5151,330,265,414,278,417,181,396,189,391,282,288,269,3.227174615666156,"hunting, birds",fishing and hunting
9496,9497,045313633.jpg,-1,-1,-1,-1,997,910,1130,901,-1,-1,-1,-1,1064,906,1006,494,1030.7277,451.1081,1143.2723,255.8919,1043,730,795,711,897,503,1115,485,1056,674,1242,693,6.760037869716411,"hunting, birds",fishing and hunting
9497,9498,031523863.jpg,-1,-1,-1,-1,622,804,744,790,-1,-1,-1,-1,683,797,616,424,618.7887,387.5924,631.2113,225.4076,679,747,518,607,501,427,730,420,889,494,990,458,4.879796717077464,"hunting, birds",fishing and hunting
9498,9499,094121953.jpg,-1,-1,-1,-1,1380,828,1457,821,-1,-1,-1,-1,1419,825,1334,398,1337.9779,370.4958,1365.0221,183.5042,1294,537,1183,677,1234,405,1433,391,1501,581,1551,761,5.668117147695521,"hunting, birds",fishing and hunting
9499,9500,084951767.jpg,-1,-1,-1,-1,733,1012,854,1021,-1,-1,-1,-1,794,1017,817,584,803.4348,512.9347,763.5652,304.0653,693,814,804,817,745,615,888,553,925,826,938,1009,6.3792162528009655,"hunting, birds",fishing and hunting
9500,9501,084366838.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,345,281,346.5153,258.4216,353.4847,154.5784,403,412,293,422,285,288,405,274,406,381,485,320,3.1223068395018445,"hunting, birds",fishing and hunting
9501,9502,051228474.jpg,91,394,93,306,85,206,46,201,36,297,-1,-1,66,204,79,101,80.5071,88.0393,87.4929,27.9607,134,160,120,150,108,107,50,94,72,135,109,106,1.814501584457837,"hunting, birds",fishing and hunting
9502,9503,079435233.jpg,93,455,113,383,81,313,140,319,134,376,147,432,111,316,88,226,100.2606,208.788,127.7394,170.212,147,275,123,274,97,232,78,219,126,274,124,324,1.4208729710991057,"hunting, birds",fishing and hunting
9503,9504,049047841.jpg,-1,-1,-1,-1,250,384,313,399,-1,-1,-1,-1,282,392,313,216,308.9264,187.4845,295.0736,90.5155,189,246,281,274,300,211,325,220,321,304,240,271,2.9386037500826814,"hunting, birds",fishing and hunting
9504,9505,003980568.jpg,-1,-1,-1,-1,360,417,429,420,-1,-1,-1,-1,395,419,428,174,423.7304,147.4338,405.2696,32.5662,289,274,328,239,347,171,509,177,542,279,486,298,3.4902469826646936,"hunting, birds",fishing and hunting
9505,9506,076301940.jpg,-1,-1,161,469,182,355,205,366,170,469,-1,-1,194,361,166,229,168.0013,217.6078,176.9987,166.3922,211,324,158,315,144,231,187,227,193,261,208,265,1.5599999999999998,"hunting, birds",fishing and hunting
9506,9507,016856914.jpg,-1,-1,280,398,302,319,317,320,296,414,-1,-1,310,320,307,197,301.868,176.2744,286.132,112.7256,245,203,263,240,280,202,333,191,364,270,328,332,1.9640448060062172,"hunting, birds",fishing and hunting
9507,9508,063147357.jpg,-1,-1,224,464,225,353,298,374,289,475,-1,-1,262,364,306,218,307.9574,197.3579,315.0426,122.6421,230,252,217,283,255,205,356,231,366,309,330,366,2.251527481511163,"hunting, birds",fishing and hunting
9508,9509,008566419.jpg,593,500,594,389,510,369,559,364,647,381,658,468,535,367,582,282,585.4995,265.2981,600.5005,193.7019,633,372,586,350,554,270,610,293,618,325,641,364,2.1945240941944566,horseback riding,sports
9509,9510,094686740.jpg,1026,450,1055,355,1129,293,1172,295,1208,388,1213,464,1151,294,1154,162,1152.9474,168.0524,1167.0526,86.9476,1065,283,1070,228,1113,156,1194,168,1205,257,1193,316,2.4696688037062784,horseback riding,sports
9510,9511,029172389.jpg,1071,655,1064,571,1049,450,1112,452,1107,564,1129,661,1081,451,1059,337,1058.833,315.2894,1058.167,228.7106,974,476,993,398,1023,325,1094,348,1107,439,1049,487,2.5974387384498603,horseback riding,sports
9511,9512,022646469.jpg,797,636,813,556,842,483,898,480,947,549,938,634,870,482,861,357,860.7247,347.2733,858.2753,260.7267,822,451,782,427,815,360,907,353,929,422,927,478,2.5974387384498603,horseback riding,sports
9512,9513,012913640.jpg,-1,-1,1003,713,1126,513,1302,523,1364,814,-1,-1,1214,518,1253,286,1254.0738,265.9888,1262.9262,101.0112,1186,523,1104,415,1155,270,1350,302,1371,456,1275,590,4.956450342735211,horseback riding,sports
9513,9514,094600219.jpg,772,584,791,506,808,446,867,438,915,518,886,590,838,442,874,358,877.6138,350.7725,907.3862,291.2275,825,408,797,381,829,349,918,366,926,402,911,396,1.997198037251189,horseback riding,sports
9514,9515,071190374.jpg,565,855,630,687,632,547,716,547,776,646,707,831,674,547,698,387,712.4828,350.6911,754.5172,245.3089,613,492,545,424,632,369,764,405,740,480,764,511,3.4036874122045937,horseback riding,sports
9515,9516,074166089.jpg,1074,565,1023,468,1092,387,1171,399,1141,476,1147,581,1132,393,1102,294,1101.9433,288.8361,1101.0567,208.1639,1036,436,1040,351,1056,282,1147,306,1139,383,1088,438,2.420314029211912,horseback riding,sports
9516,9517,049940456.jpg,229,915,325,628,294,384,392,446,446,685,382,923,343,415,545,190,547.6966,184.7827,634.3034,17.2173,547,527,449,377,493,154,597,226,558,395,602,522,5.658709393492477,horseback riding,sports
9517,9518,047472779.jpg,742,521,751,428,751,348,797,362,819,403,831,453,774,355,815,276,799.0457,284.2189,863.9543,250.7811,776,331,728,286,799,274,831,278,848,305,838,346,2.1904520081480903,horseback riding,sports
9518,9519,024691650.jpg,611,723,634,614,632,522,674,542,683,619,669,707,653,532,719,418,720.9676,412.1606,748.0324,331.8394,685,517,648,482,706,415,732,420,678,482,706,515,2.542754412050051,horseback riding,sports
9519,9520,097714533.jpg,-1,-1,388,920,357,730,530,723,619,838,607,1021,444,727,438,399,428.626,324.2427,407.374,154.7573,393,708,290,605,326,415,549,383,581,542,602,720,5.124379377056308,horseback riding,sports
9520,9521,079658094.jpg,-1,-1,-1,-1,489,869,576,879,-1,-1,-1,-1,533,874,849,455,926.3793,323.6523,1085.6207,53.3477,917,956,624,766,824,475,874,434,836,788,949,922,9.411703352741204,horseback riding,sports
9521,9522,041299206.jpg,1057,992,1021,751,1144,545,1177,549,1038,826,1079,1064,1161,547,936,315,888.9439,275.553,748.0561,157.447,1016,540,1033,451,905,314,966,316,1045,525,910,617,5.515302348919777,horseback riding,sports
9522,9523,015134126.jpg,877,860,910,715,1091,590,1124,600,1028,865,1093,1067,1108,595,868,373,837.0757,345.9599,691.9243,219.0401,725,533,903,499,843,347,893,398,982,643,884,679,5.784448115421211,horseback riding,sports
9523,9524,055689064.jpg,993,434,1018,370,1046,296,1099,270,1124,301,1169,417,1073,283,1063,227,1062.2022,224.0627,1041.7978,148.9373,1009,243,1031,249,1036,225,1090,228,1107,284,1065,286,2.335410884619664,horseback riding,sports
9524,9525,078705665.jpg,980,401,1020,251,1053,196,1172,240,1205,289,1223,395,1113,218,1140,118,1135.7696,128.3409,1171.2304,41.6591,1082,173,1024,164,1092,108,1187,128,1197,211,1167,200,2.8096405464044683,horseback riding,sports
9525,9526,031431488.jpg,-1,-1,-1,-1,1005,926,1152,914,-1,-1,-1,-1,1079,920,1048,643,1028.9038,587.0896,970.0962,414.9104,1005,899,920,845,911,652,1185,634,1222,806,1149,948,5.458351399461196,horseback riding,sports
9526,9527,008466981.jpg,-1,-1,-1,-1,-1,-1,928,289,953,349,993,438,-1,-1,880,235,875.0836,230.7643,819.9164,183.2357,842,301,863,289,852,242,907,227,926,302,880,332,2.184527408846133,horseback riding,sports
9527,9528,046453846.jpg,-1,-1,1124,947,1211,795,1329,786,1437,963,-1,-1,1270,791,1126,591,1115.6841,570.5628,1030.3159,401.4372,972,876,1025,749,1028,600,1223,581,1226,755,1161,869,5.683491884396423,horseback riding,sports
9528,9529,074811024.jpg,1043,600,1068,561,1076,451,1132,449,1159,540,1163,625,1104,450,1107,351,1110.6722,330.6357,1125.3278,249.3643,1099,507,1062,424,1068,350,1146,352,1154,447,1159,505,2.477469676908276,horseback riding,sports
9529,9530,027224754.jpg,384,714,614,705,378,531,422,496,513,602,390,625,400,514,634,408,666.0259,385.187,820.9741,274.813,667,773,599,608,631,431,637,384,728,537,832,681,5.707208074006063,water walking,water activities
9530,9531,008086975.jpg,778,789,766,684,776,538,734,538,677,696,691,828,755,538,692,391,672.7584,373.9367,605.2416,314.0633,728,536,771,472,732,392,652,389,684,479,636,543,2.707217021223086,water walking,water activities
9531,9532,065682231.jpg,868,787,872,649,863,471,781,469,765,633,758,724,822,470,865,303,878.0075,279.9868,929.9925,188.0132,912,530,950,432,940,312,790,294,744,394,760,495,3.169454211690082,water walking,water activities
9532,9533,065380466.jpg,506,890,454,673,367,402,240,374,340,663,379,907,304,388,530,278,583.3224,278.199,744.6776,278.801,559,623,506,501,586,285,474,270,467,472,516,598,4.8406875544699215,water walking,water activities
9533,9534,009493201.jpg,912,880,960,758,955,597,888,585,897,767,917,880,922,591,935,398,938.7055,386.163,967.2945,294.837,1120,391,1103,430,988,401,881,394,845,415,845,377,2.87088557765718,water walking,water activities
9534,9535,031885181.jpg,682,889,682,751,480,857,545,956,768,910,893,1004,513,907,419,815,424.6602,776.9961,441.3398,665.0039,559,694,470,763,405,749,432,881,504,898,583,891,3.396826754487193,water walking,water activities
9535,9536,099281446.jpg,923,915,1004,896,925,725,872,727,930,860,863,886,899,726,939,585,950.8557,547.867,980.1443,456.133,1014,773,983,701,995,588,882,581,879,711,961,783,2.888886290597122,water walking,water activities
9536,9537,067842667.jpg,610,857,595,672,569,482,525,470,552,658,569,857,547,476,648,269,664.9042,257.5293,771.0958,185.4707,788,383,674,403,631,282,665,256,684,388,792,381,3.849962077735312,water walking,water activities
9537,9538,073007517.jpg,501,821,453,701,448,554,511,533,564,677,602,766,480,544,453,392,449.0112,362.9384,435.9888,268.0616,472,521,410,499,393,400,513,383,525,484,533,540,2.87299147231592,water walking,water activities
9538,9539,021291729.jpg,992,636,1002,506,1024,347,959,356,917,544,-1,-1,992,352,890,100,886.5517,97.659,784.4483,28.341,771,336,870,258,890,128,890,72,756,195,666,251,3.702306308235449,water walking,water activities
9539,9540,007878207.jpg,669,482,625,408,621,379,571,391,569,429,585,522,596,385,572,278,573.8168,285.5702,558.1832,220.4298,723,367,667,327,600,283,544,272,505,238,470,213,2.0097044558839987,water walking,water activities
9540,9541,027690169.jpg,978,559,850,493,829,573,864,543,986,501,1131,522,847,558,863,429,868.2971,421.5841,922.7029,345.4159,704,514,799,448,852,429,874,428,856,463,824,508,2.8081025622295206,water walking,water activities
9541,9542,024889839.jpg,-1,-1,522,650,613,548,600,513,530,611,474,547,607,531,797,536,795.0269,536.4385,897.9731,513.5615,-1,-1,768,679,788,550,805,521,805,603,844,660,3.163724387490162,water walking,water activities
9542,9543,023454410.jpg,729,644,787,490,766,328,711,304,740,479,676,593,739,316,864,312,850.6585,306.2822,933.3415,341.7178,1029,503,952,450,891,338,836,286,790,314,732,354,2.6986930169991545,water walking,water activities
9543,9544,019275432.jpg,-1,-1,-1,-1,584,623,475,619,-1,-1,-1,-1,530,621,531,281,538.3448,236.4068,565.6552,70.5932,832,228,807,381,667,297,394,264,259,288,125,247,5.041428369024001,water walking,water activities
9544,9545,057475569.jpg,758,572,702,483,820,475,851,506,799,611,888,570,836,491,713,457,721.4703,462.294,608.5297,391.706,601,594,642,501,683,429,743,485,723,609,688,702,3.995549524158097,water walking,water activities
9545,9546,032810348.jpg,807,524,831,427,764,470,767,470,829,425,799,503,766,470,731,410,734.5508,396.1298,759.4492,298.8702,693,558,719,490,739,429,723,391,691,417,680,473,3.011880475716127,water walking,water activities
9546,9547,082034502.jpg,621,559,550,478,422,621,352,602,407,466,500,523,387,612,416,414,424.5133,394.9138,469.4867,294.0862,592,358,571,441,479,428,352,400,417,384,436,307,3.312086955380248,water walking,water activities
9547,9548,018394742.jpg,577,474,606,420,686,480,682,493,623,418,580,484,684,487,693,356,692.1898,343.0363,686.8102,256.9637,561,378,615,346,686,341,700,371,615,392,570,391,2.5872178106993617,water walking,water activities
9548,9549,005583822.jpg,568,704,657,499,495,266,435,241,437,460,419,642,465,254,776,244,805.7639,256.9408,953.2361,321.0592,942,663,878,495,812,295,739,193,576,264,580,437,4.8242388000595495,water walking,water activities
9549,9550,097772351.jpg,727,445,747,348,625,410,559,411,729,342,595,456,592,411,691,246,692.6002,245.5797,788.3998,220.4203,750,312,718,335,731,249,651,242,626,321,710,316,2.9714481318037507,water walking,water activities
9550,9551,079059213.jpg,634,501,748,317,530,383,520,366,716,315,557,434,525,375,682,172,702.8344,146.0883,780.1656,49.9117,751,297,651,279,700,183,663,160,630,274,667,407,3.702306308235449,water walking,water activities
9551,9552,049011148.jpg,-1,-1,685,654,685,446,586,446,586,652,-1,-1,636,446,633,155,642.7426,118.3677,673.2574,3.6323,768,437,760,280,729,156,537,154,503,295,454,417,3.561716440145116,water walking,water activities
9552,9553,008658736.jpg,780,665,657,691,708,580,756,593,772,713,865,666,732,587,737,446,735.0554,412.5094,729.9446,324.4906,637,506,695,500,706,431,767,460,764,540,677,551,2.645013421516042,water walking,water activities
9553,9554,059244544.jpg,17,514,9,397,179,397,238,412,88,423,92,511,209,405,168,259,150.4239,240.5513,44.5761,129.4487,54,349,161,359,153,240,182,278,250,362,216,455,4.6035603612856,water walking,water activities
9554,9555,075876375.jpg,-1,-1,-1,-1,173,619,197,613,-1,-1,-1,-1,185,616,147,237,161.1838,202.5937,233.8162,26.4063,309,557,197,462,125,237,168,237,204,365,290,524,5.71714054401324,water walking,water activities
9555,9556,019071725.jpg,642,464,739,377,832,472,789,493,634,406,721,450,811,483,808,324,800.9087,297.0251,764.0913,156.9749,789,419,872,375,855,303,760,344,747,446,696,499,4.344265185275871,water walking,water activities
9556,9557,056820834.jpg,541,706,538,675,551,646,600,644,616,668,617,706,576,645,572,605,573.7951,622.3522,564.2049,529.6478,484,698,507,662,539,607,604,602,624,634,645,670,2.795974248808454,water walking,water activities
9557,9558,056876910.jpg,-1,-1,376,966,328,751,230,763,287,978,-1,-1,279,757,215,523,208.6009,475.7597,187.3991,319.2403,304,619,376,610,309,484,121,561,160,687,251,725,4.738465574423856,water walking,water activities
9558,9559,069713981.jpg,509,994,504,788,533,484,408,499,446,773,458,954,471,492,403,212,396.2576,185.9745,359.7424,45.0255,605,47,542,90,451,162,355,261,427,290,547,335,4.36806593356831,water walking,water activities
9559,9560,099552023.jpg,-1,-1,1138,906,1194,633,1127,644,1022,903,-1,-1,1161,639,1111,332,1103.7144,296.0576,1073.2856,145.9424,1143,649,1186,501,1103,333,1119,331,1167,452,1067,622,4.595044287055348,water walking,water activities
9560,9561,001367765.jpg,1062,866,915,751,-1,-1,-1,-1,987,650,1005,834,-1,-1,814,592,821.3828,585.753,949.6172,477.247,745,832,682,708,771,618,857,566,794,638,889,679,5.039428539030987,water walking,water activities
9561,9562,035513322.jpg,840,687,706,797,521,1018,713,946,812,800,949,701,617,982,434,941,439.065,923.996,484.935,770.004,516,845,475,898,395,954,472,927,533,944,581,934,4.820356833264524,water walking,water activities
9562,9563,028102793.jpg,1555,881,1418,970,1421,773,1399,761,1231,749,1235,932,1410,767,1279,590,1262.8583,586.1517,1144.1417,557.8483,1260,893,1276,778,1293,598,1264,581,1209,545,1146,518,3.6613177955484826,water walking,water activities
9563,9564,026231585.jpg,1385,816,1280,831,1280,655,1217,653,1147,763,1193,879,1249,654,1128,592,1128.8661,592.4768,1038.1339,542.5232,1174,735,1147,694,1147,607,1109,576,1029,569,926,566,3.1072354271924745,water walking,water activities
9564,9565,008475947.jpg,263,568,130,518,280,402,282,409,313,596,450,694,281,406,253,202,246.7346,172.4132,223.2654,61.5868,75,250,162,280,256,204,250,199,199,302,93,308,3.398522031707312,"running, on a track, team practice",running
9565,9566,074160883.jpg,208,622,359,747,359,542,398,540,482,723,533,932,379,541,404,344,405.8155,299.8225,411.1845,169.1775,472,542,388,468,381,333,427,355,422,468,480,516,3.922660321771438,"running, on a track, team practice",running
9566,9567,069342584.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,881,639,891.888,501.8574,917.112,184.1426,361,994,398,879,615,637,1146,640,1316,950,-1,-1,9.561432528653851,"running, on a track, team practice",running
9567,9568,025080413.jpg,-1,-1,-1,-1,516,944,658,941,-1,-1,-1,-1,587,943,553,633,543.53,592.8731,503.47,423.1269,388,917,441,780,446,653,660,612,800,759,699,908,5.232275222118958,"running, marathon",running
9568,9569,025283378.jpg,-1,-1,-1,-1,1124,829,941,848,-1,-1,-1,-1,1033,839,1053,374,1064.5731,259.5,1088.4269,23.5,826,801,733,593,869,364,1236,383,1288,600,1329,736,7.116070825954447,"running, on a track, team practice",running
9569,9570,062886059.jpg,-1,-1,-1,-1,888,882,1071,876,-1,-1,-1,-1,980,879,952,479,941.5918,369.7143,920.4082,147.2857,817,807,758,745,780,497,1124,460,1251,631,1211,873,6.703050052028555,"running, on a track, team practice",running
9570,9571,076217111.jpg,687,1059,755,948,609,786,664,755,639,925,472,882,637,771,641,547,652.2144,492.4093,682.7856,343.5907,697,760,507,735,596,573,685,520,644,614,735,631,4.55778893763193,"running, marathon",running
9571,9572,087648561.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,647,612,671.934,530.5977,758.066,249.4023,615,1062,268,990,479,643,814,581,652,804,820,916,8.822734270054832,"running, marathon",running
9572,9573,085213956.jpg,627,886,620,862,603,730,668,720,666,862,675,968,636,725,635,559,636.1207,522.2427,638.8793,431.7573,565,672,548,622,577,554,692,564,716,634,718,650,2.715820318062298,"running, marathon",running
9573,9574,096488299.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,988,637,975.0611,534.5497,939.9389,256.4503,897,863,640,1037,752,668,1223,606,1360,829,1294,907,8.409252047596146,"running, marathon",running
9574,9575,058138490.jpg,-1,-1,-1,-1,826,919,1021,916,-1,-1,-1,-1,924,918,930,479,926.5059,437.8469,906.4941,202.1531,485,448,497,680,755,488,1105,469,1322,584,1422,435,7.09625253214681,"running, marathon",running
9575,9576,090865556.jpg,720,573,672,466,771,371,771,368,838,480,947,558,771,370,754,230,744.8775,206.0269,720.1225,140.9731,768,278,825,273,779,228,729,231,723,304,679,265,2.0881379264789954,"running, marathon",running
9576,9577,080851327.jpg,217,447,288,397,215,304,254,301,210,401,161,485,235,303,247,165,250.1041,152.8658,265.8959,91.1342,195,225,150,213,205,164,289,166,303,246,320,219,1.911581544167028,"running, marathon",running
9577,9578,089466762.jpg,509,562,536,429,418,310,420,313,348,431,227,488,419,312,451,127,459.3236,101.6591,487.6764,15.3409,423,187,338,184,416,117,486,137,496,217,539,182,2.725664689575737,"running, marathon",running
9578,9579,001162660.jpg,636,532,627,405,549,296,552,298,476,406,370,472,551,297,558,143,565.8922,127.0638,602.1078,53.9362,511,227,462,182,536,144,580,142,553,238,603,207,2.4481176442319925,running,running
9579,9580,096590299.jpg,336,455,332,375,331,282,362,285,365,387,366,457,347,284,358,203,356.7411,188.9723,352.2589,139.0277,317,255,321,231,330,201,385,204,416,247,368,234,1.504361658644623,"running, marathon",running
9580,9581,047353016.jpg,489,341,445,280,502,225,526,220,556,306,609,376,514,223,514,119,508.5924,106.7942,484.4076,52.2058,538,190,558,143,517,115,510,123,521,183,488,159,1.791178383076348,running,running
9581,9582,079818299.jpg,470,390,428,316,435,229,432,237,375,311,465,289,434,233,417,128,410.9284,109.9811,392.0716,54.0189,438,207,459,167,424,123,410,132,411,191,376,186,1.7716162112602152,running,running
9582,9583,012720412.jpg,642,391,583,328,522,236,534,233,451,288,531,351,528,235,539,102,532.4782,85.8671,507.5218,24.1329,478,156,516,173,508,103,569,101,623,134,593,192,1.9976305964817416,"running, marathon",running
9583,9584,039594110.jpg,329,444,329,341,319,268,358,266,350,374,347,341,339,267,351,153,347.711,112.0375,343.289,56.9625,282,221,290,189,300,149,401,156,428,198,391,217,1.6575644783838726,running,running
9584,9585,027146066.jpg,435,412,426,315,463,228,491,226,493,327,597,317,477,227,473,108,467.363,102.5643,422.637,59.4357,486,203,495,158,467,115,478,100,510,143,469,205,1.8639828325389696,running,running
